"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Outdegree","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.847682119205298","0.013272882667033897","0.3511627906976744","0.4642857142857143","8","5","8","0","false","Addam-Marbrand","25.125","0","8","8","0","0.9686833539117746","false","0","Addam-Marbrand","4634","0.26171875"
"3.8410596026490067","0.0","0.2603448275862069","1.0","2","6","2","1","false","Gyles-Rosby","5.0","0","2","1","0","0.9518464474127287","false","0","Gyles-Rosby","0","0.625"
"2.2880794701986753","0.12449090663178375","0.4370477568740955","0.17272727272727273","45","4","45","19","false","Jaime-Lannister","15.88888888888889","0","45","26","0","0.9781681445729038","false","0","Jaime-Lannister","62584","0.08564564564564564"
"3.8410596026490067","0.0","0.2603448275862069","1.0","2","6","2","2","false","Jalabhar-Xho","5.0","0","2","0","0","0.9518464474127287","false","0","Jalabhar-Xho","0","0.625"
"2.109271523178808","0.1418908712274216","0.4740973312401884","0.1926530612244898","50","4","50","18","false","Joffrey-Baratheon","17.56","0","50","32","0","0.9811987877427322","false","0","Joffrey-Baratheon","67642","0.07634782608695652"
"2.8609271523178808","0.004259856771573007","0.34953703703703703","0.5272727272727272","11","5","11","3","false","Kevan-Lannister","24.90909090909091","0","11","8","0","0.9684588618251208","false","0","Kevan-Lannister","2882","0.25585754451733833"
"2.665562913907285","0.01106593614851679","0.37515527950310557","0.375","16","5","16","12","false","Oberyn-Martell","21.8125","0","16","4","0","0.9717701201032664","false","0","Oberyn-Martell","5498","0.1875"
"2.185430463576159","0.15409096601718397","0.4575757575757576","0.14202220923436587","59","4","59","54","false","Tyrion-Lannister","13.94915254237288","0","59","5","0","0.9799079582444719","false","0","Tyrion-Lannister","73774","0.07082324455205811"
"2.6556291390728477","0.009644858287632703","0.3765586034912718","0.45","16","5","16","16","false","Varys","22.625","0","16","0","0","0.9719384891682568","false","0","Varys","4396","0.18960084033613445"
"3.2119205298013247","7.614450136260953E-5","0.311340206185567","0.6666666666666666","4","6","4","0","false","Aegon-Frey-(son-of-Stevron)","25.5","0","4","4","0","0.962509821528791","false","0","Aegon-Frey-(son-of-Stevron)","30","0.4322033898305085"
"2.447019867549669","0.0749384821478828","0.40866035182679294","0.16358463726884778","38","5","38","6","false","Catelyn-Stark","15.18421052631579","0","38","32","0","0.9754742395330565","false","0","Catelyn-Stark","44584","0.0873136598722239"
"2.271523178807947","0.16232085177685465","0.44023323615160354","0.11649659863945579","49","5","49","31","false","Robb-Stark","13.142857142857142","0","49","18","0","0.9784487596812212","false","0","Robb-Stark","76040","0.06361373817819811"
"3.2582781456953644","7.333905377952813E-6","0.30691056910569103","0.6666666666666666","3","6","3","3","false","Stevron-Frey","19.666666666666668","0","3","0","0","0.9617240992255023","false","0","Stevron-Frey","2","0.3933333333333333"
"3.0264900662251657","0.004963592755464464","0.3304157549234136","0.4090909090909091","12","5","12","12","false","Walder-Frey","15.083333333333334","0","12","0","0","0.9656527107419464","false","0","Walder-Frey","3520","0.20270270270270271"
"3.076158940397351","0.007508835539835035","0.32508073196986004","0.0","3","6","3","0","false","Aegon-I-Targaryen","19.0","0","3","3","0","0.9648108654169941","false","0","Aegon-I-Targaryen","5124","0.33962264150943394"
"3.0596026490066226","0.13649086892642945","0.3268398268398268","0.11594202898550725","24","6","24","7","false","Daenerys-Targaryen","5.333333333333333","0","24","17","0","0.9650914805253115","false","0","Daenerys-Targaryen","75786","0.09645061728395062"
"2.2781456953642385","0.10901720808164447","0.438953488372093","0.17419354838709677","31","5","31","28","false","Stannis-Baratheon","17.64516129032258","0","31","3","0","0.9783365136378943","false","0","Stannis-Baratheon","54468","0.0870328968380709"
"3.225165562913907","1.2398374660819986E-4","0.3100616016427105","0.0","2","6","2","2","false","Torrhen-Stark","9.5","0","2","0","0","0.9622853294421372","false","0","Torrhen-Stark","82","0.5"
"3.9172185430463577","0.0","0.25528317836010145","0.0","1","6","1","0","false","Aegon-Targaryen-(son-of-Rhaegar)","7.0","0","1","1","0","0.9505556179144685","false","0","Aegon-Targaryen-(son-of-Rhaegar)","0","0.0"
"2.9205298013245033","0.009067313540041652","0.3424036281179138","0.47619047619047616","7","5","7","2","false","Elia-Martell","27.0","0","7","5","0","0.9674486474351779","false","0","Elia-Martell","6588","0.2968253968253968"
"3.2847682119205297","0.0","0.30443548387096775","0.0","1","5","1","0","false","Aemon-Targaryen-(Dragonknight)","45.0","0","1","1","0","0.9612751150521944","false","0","Aemon-Targaryen-(Dragonknight)","0","0.0"
"2.7417218543046356","0.020222474339068295","0.3647342995169082","0.3464052287581699","18","6","18","0","false","Aemon-Targaryen-(Maester-Aemon)","15.61111111111111","0","18","18","0","0.9704792906050062","false","0","Aemon-Targaryen-(Maester-Aemon)","11828","0.15102481121898598"
"2.9735099337748343","4.2690748854735825E-4","0.3363028953229399","0.8095238095238095","7","6","7","1","false","Alliser-Thorne","24.857142857142858","0","7","6","0","0.9665506790885621","false","0","Alliser-Thorne","370","0.2761904761904762"
"3.2350993377483444","1.7065709986767248E-4","0.3091095189355169","0.8333333333333334","4","6","4","1","false","Clydas","26.75","0","4","3","0","0.9621169603771467","false","0","Clydas","200","0.39925373134328357"
